day,open,high,low,close,volume
2022-03-15,1.1895,1.1895,1.18,1.18,382
2022-03-15,1.18,1.18,1.1745,1.18,1110
2022-03-15,1.17,1.17,1.17,1.17,700
2022-03-15,1.17,1.17,1.17,1.17,100
2022-03-15,1.175,1.175,1.17,1.17,925
2022-03-15,1.17,1.17,1.17,1.17,200
2022-03-15,1.17,1.1702,1.17,1.17,1535
2022-03-15,1.1794,1.1794,1.175,1.175,700
2022-03-15,1.175,1.175,1.175,1.175,100
2022-03-15,1.215,1.215,1.18,1.18,714
2022-03-15,1.19,1.19,1.19,1.19,110
2022-03-15,1.19,1.19,1.19,1.19,344
2022-03-15,1.175,1.19,1.175,1.19,783
2022-03-15,1.19,1.19,1.19,1.19,100
2022-03-15,1.17,1.1738,1.17,1.17,2292
2022-03-15,1.17,1.1784,1.17,1.17,1258
2022-03-15,1.25,1.25,1.24,1.24,880
2022-03-14,1.15,1.24,1.15,1.24,529
2022-03-14,1.26,1.26,1.26,1.26,1000
2022-03-14,1.17,1.17,1.17,1.17,354
2022-03-14,1.16,1.16,1.15,1.15,205
2022-03-14,1.16,1.1605,1.16,1.1605,765
2022-03-14,1.17,1.17,1.16,1.16,850
2022-03-14,1.185,1.185,1.16,1.162,23197
2022-03-14,1.18,1.1899,1.18,1.1806,870
2022-03-14,1.19,1.19,1.19,1.19,540
2022-03-14,1.19,1.19,1.19,1.19,942
2022-03-14,1.1801,1.1801,1.1801,1.1801,921
2022-03-14,1.21,1.21,1.2,1.2,1548
2022-03-14,1.205,1.205,1.205,1.205,3000
2022-03-14,1.2284,1.2284,1.2,1.2003,6965
2022-03-14,1.24,1.25,1.24,1.24,2058
2022-03-14,1.25,1.25,1.25,1.25,100
2022-03-14,1.2998,1.3,1.25,1.25,5123
2022-03-14,1.28,1.33,1.26,1.3,10338
2022-03-14,1.2,1.2,1.18,1.18,1000
2022-03-11,1.29,1.29,1.29,1.29,100
2022-03-11,1.3,1.3,1.3,1.3,1000
2022-03-11,1.24,1.24,1.18,1.18,2917
2022-03-11,1.25,1.25,1.24,1.24,595
2022-03-11,1.2209,1.2209,1.2209,1.2209,600
2022-03-11,1.22,1.22,1.22,1.22,220
2022-03-11,1.22,1.22,1.22,1.22,1500
2022-03-11,1.22,1.22,1.22,1.22,790
2022-03-11,1.23,1.23,1.22,1.22,1620
2022-03-11,1.23,1.23,1.23,1.23,610
2022-03-11,1.24,1.24,1.23,1.23,1859
2022-03-11,1.2001,1.2001,1.2001,1.2001,1100
2022-03-11,1.23,1.23,1.23,1.23,1000
2022-03-11,1.24,1.25,1.24,1.2499,1243
2022-03-11,1.1954,1.25,1.1954,1.25,4219
2022-03-11,1.2252,1.2252,1.2252,1.2252,100
2022-03-11,1.22,1.22,1.22,1.22,200
2022-03-11,1.2498,1.2498,1.2498,1.2498,1666
2022-03-11,1.32,1.32,1.2,1.2,200
2022-03-10,1.26,1.26,1.26,1.26,180
2022-03-10,1.18,1.18,1.18,1.18,719
2022-03-10,1.25,1.25,1.18,1.18,1975
2022-03-10,1.28,1.28,1.28,1.28,246
2022-03-10,1.26,1.26,1.26,1.26,100
2022-03-10,1.2526,1.31,1.2526,1.31,1099
2022-03-10,1.27,1.27,1.27,1.27,1201
2022-03-10,1.27,1.27,1.27,1.27,501
2022-03-10,1.27,1.27,1.27,1.27,800
2022-03-10,1.26,1.3,1.26,1.27,1119
2022-03-10,1.27,1.27,1.27,1.27,165
2022-03-10,1.26,1.2601,1.26,1.26,4006
2022-03-10,1.275,1.275,1.275,1.275,1000
2022-03-09,1.29,1.33,1.29,1.3,2605
2022-03-09,1.3,1.3,1.29,1.29,410
2022-03-09,1.29,1.29,1.29,1.29,400
2022-03-09,1.3,1.3,1.3,1.3,153
2022-03-09,1.3,1.3,1.3,1.3,256
2022-03-09,1.275,1.3,1.275,1.3,257
2022-03-09,1.27,1.27,1.27,1.27,240
2022-03-09,1.29,1.29,1.29,1.29,100
2022-03-09,1.3,1.31,1.28,1.2801,3439
2022-03-09,1.2699,1.315,1.2699,1.315,3672
2022-03-09,1.265,1.265,1.265,1.265,1900
2022-03-09,1.26,1.28,1.2599,1.2748,1625
2022-03-09,1.18,1.18,1.18,1.18,204
2022-03-08,1.28,1.28,1.17,1.17,300
2022-03-08,1.1875,1.19,1.18,1.18,846
2022-03-08,1.2002,1.21,1.2002,1.21,1446
2022-03-08,1.24,1.24,1.24,1.24,250
2022-03-08,1.2374,1.2374,1.2374,1.2374,1000
2022-03-08,1.21,1.25,1.21,1.25,636
2022-03-08,1.211,1.2129,1.21,1.2129,896
2022-03-08,1.21,1.21,1.21,1.21,100
2022-03-08,1.215,1.215,1.215,1.215,258
2022-03-08,1.2,1.2,1.2,1.2,100
2022-03-08,1.1801,1.1801,1.1801,1.1801,892
