day,open,high,low,close,volume
2022-03-14,9.82,9.86,9.82,9.86,132926
2022-03-10,9.82,9.82,9.82,9.82,100
2022-03-09,9.83,9.84,9.83,9.84,968
2022-03-09,9.81,9.84,9.81,9.81,9453
2022-03-08,9.83,9.83,9.81,9.83,2200
2022-03-08,9.82,9.83,9.82,9.83,1000
2022-03-07,9.82,9.82,9.82,9.82,71333
2022-03-07,9.82,9.82,9.82,9.82,199
2022-03-07,9.82,9.82,9.82,9.82,1000
2022-03-07,9.81,9.8102,9.81,9.8102,1000
2022-03-03,9.81,9.81,9.81,9.81,2852
2022-03-03,9.81,9.81,9.81,9.81,2527
2022-03-02,9.8,9.8,9.8,9.8,800
2022-03-01,9.8,9.8,9.8,9.8,716
2022-03-01,9.8,9.8,9.8,9.8,701
2022-02-28,9.8,9.8,9.8,9.8,8101
2022-02-28,9.8078,9.8078,9.8078,9.8078,154
2022-02-28,9.8,9.81,9.79,9.79,13002
2022-02-24,9.8,9.8,9.8,9.8,2030
2022-02-24,9.8,9.8,9.8,9.8,199
2022-02-24,9.8028,9.8028,9.8,9.8,4000
2022-02-24,9.81,9.81,9.81,9.81,2000
2022-02-24,9.75,9.75,9.75,9.75,200
2022-02-23,9.815,9.83,9.815,9.83,2003
2022-02-23,9.815,9.82,9.815,9.82,400
2022-02-23,9.82,9.82,9.815,9.82,2800
2022-02-23,9.82,9.82,9.82,9.82,100
2022-02-23,9.82,9.82,9.815,9.815,306
2022-02-23,9.81,9.82,9.81,9.82,428
2022-02-23,9.82,9.82,9.82,9.82,600
2022-02-23,9.81,9.81,9.81,9.81,2500
2022-02-22,9.83,9.83,9.82,9.82,2901
2022-02-22,9.81,9.81,9.81,9.81,633
2022-02-22,9.84,9.84,9.8,9.81,10420
2022-02-22,9.84,9.84,9.84,9.84,240
2022-02-22,9.83,9.83,9.83,9.83,100
2022-02-22,9.8001,9.81,9.8001,9.81,2600
2022-02-18,9.83,9.83,9.83,9.83,302
2022-02-18,9.83,9.83,9.83,9.83,200
2022-02-18,9.83,9.83,9.83,9.83,300
2022-02-15,9.85,9.89,9.84,9.89,1000
2022-02-15,9.84,9.84,9.84,9.84,648
2022-02-15,9.9,9.9,9.875,9.875,25950
2022-02-15,9.9077,9.9077,9.9077,9.9077,115
2022-02-15,9.85,9.85,9.8414,9.8414,2500
2022-02-15,9.83,9.83,9.83,9.83,2500
2022-02-15,9.905,9.905,9.905,9.905,2100
2022-02-15,9.8521,9.8521,9.8521,9.8521,2100
2022-02-14,9.85,9.86,9.85,9.85,76927
2022-02-14,9.87,9.87,9.85,9.87,5752
2022-02-14,9.85,9.87,9.84,9.87,13206
