day,open,high,low,close,volume
2022-03-15,155.05,155.09,154.92,155.0,18879
2022-03-15,154.75,155.1,154.65,155.02,18031
2022-03-15,154.69,154.8,154.66,154.78,11049
2022-03-15,154.73,154.73,154.69,154.69,3177
2022-03-15,154.71,154.77,154.59,154.77,16019
2022-03-15,154.8,154.8,154.64,154.71,9639
2022-03-15,154.8,154.88,154.73,154.8,16658
2022-03-15,154.89,154.9,154.7,154.77,13554
2022-03-15,154.87,154.9,154.84,154.85,5653
2022-03-15,154.98,154.98,154.85,154.9,13220
2022-03-15,154.95,155.06,154.87,154.95,12246
2022-03-15,154.94,154.99,154.85,154.98,6654
2022-03-15,155.02,155.09,154.91,154.96,910964
2022-03-15,154.894,155.09,154.87,155.0,49373
2022-03-15,154.76,155.09,154.74,154.8999,1681980
2022-03-15,155.09,155.15,154.71,154.78,1000060
2022-03-15,154.99,155.57,154.81,155.16,6899608
2022-03-15,154.91,155.3,154.81,154.99,3424024
2022-03-15,154.61,155.19,154.59,154.909,3321634
2022-03-15,154.39,154.7476,154.27,154.6,2772192
2022-03-15,153.6627,154.4499,153.63,154.4,2345793
2022-03-15,153.21,153.74,153.015,153.67,1778250
2022-03-15,153.16,154.18,152.83,153.225,2061443
2022-03-15,153.69,153.78,153.02,153.161,2563228
2022-03-15,153.34,153.8,153.22,153.6982,1542363
2022-03-15,153.2599,153.6,153.13,153.35,1713546
2022-03-15,153.52,153.9278,153.25,153.25,1544185
2022-03-15,154.13,154.18,153.49,153.5,1627883
2022-03-15,154.29,154.4,153.68,154.115,2105062
2022-03-15,154.54,154.659,154.21,154.28,1674095
2022-03-15,154.38,154.67,154.2044,154.53,2401930
2022-03-15,153.33,154.43,153.03,154.3801,2787928
2022-03-15,154.08,154.21,153.0724,153.3383,3016659
2022-03-15,153.39,154.22,153.32,154.086,3009986
2022-03-15,153.12,153.4,152.75,153.38,2470692
2022-03-15,152.515,153.41,152.29,153.1119,2812480
2022-03-15,152.43,152.775,152.1809,152.5,2609430
2022-03-15,152.03,152.65,151.92,152.41,3375764
2022-03-15,150.895,152.05,150.68,152.025,3507265
2022-03-15,151.56,151.84,150.775,150.89,3382259
2022-03-15,150.83,151.61,150.38,151.5607,4684296
2022-03-15,150.9,152.2989,150.61,150.8286,7534548
2022-03-15,151.29,151.4,150.31,150.99,200498
2022-03-15,150.99,151.58,150.9,151.3,143456
2022-03-15,151.12,151.33,150.84,150.98,110922
2022-03-15,150.53,151.55,150.52,151.1,309511
2022-03-15,150.58,150.86,150.47,150.57,108437
2022-03-15,150.4518,152.16,150.01,150.57,311105
2022-03-15,150.26,150.31,150.03,150.26,52878
2022-03-15,150.46,150.74,150.19,150.3,51334
2022-03-15,150.74,150.89,150.34,150.44,50788
2022-03-15,150.24,150.82,150.23,150.75,68458
2022-03-15,150.0,150.76,150.0,150.22,28114
2022-03-15,149.98,150.25,149.98,150.02,13660
2022-03-15,149.85,150.02,149.69,150.02,12771
2022-03-15,149.5,149.89,149.5,149.89,12441
2022-03-15,149.97,150.0,149.4,149.4,11082
2022-03-15,149.78,150.0,149.69,149.98,15104
2022-03-15,149.37,149.9,149.26,149.74,25015
2022-03-15,149.3,149.45,148.93,149.25,29902
2022-03-15,149.88,149.88,149.12,149.3,24738
2022-03-15,149.85,149.92,149.62,149.88,17546
2022-03-15,150.03,150.24,149.86,149.93,36411
2022-03-15,149.4,150.9,149.4,150.2,59570
2022-03-14,150.72,151.0,150.67,150.9,50429
2022-03-14,150.5001,150.85,150.5,150.7399,20280
2022-03-14,150.57,150.63,150.51,150.52,17551
2022-03-14,150.68,150.69,150.45,150.53,19296
2022-03-14,150.63,150.93,150.59,150.65,17586
2022-03-14,150.28,151.0,150.2699,150.73,60062
2022-03-14,150.45,150.45,150.27,150.27,23077
2022-03-14,150.43,150.61,150.42,150.45,28678
2022-03-14,150.4,150.5,150.35,150.47,24930
2022-03-14,150.25,150.4,150.21,150.4,40573
2022-03-14,150.37,150.59,150.22,150.22,55987
2022-03-14,150.8001,150.84,150.32,150.4,56685
2022-03-14,150.78,150.84,150.66,150.84,537644
2022-03-14,150.77,150.83,150.62,150.82,160939
2022-03-14,150.84,150.84,150.62,150.74,2090925
2022-03-14,150.64,150.9899,150.17,150.76,1659508
2022-03-14,151.055,151.28,150.1,150.64,7615683
2022-03-14,151.2,151.24,150.55,151.055,3903889
2022-03-14,151.5197,151.73,151.17,151.21,2807073
2022-03-14,151.14,151.55,150.92,151.52,3095320
2022-03-14,150.99,151.225,150.58,151.1401,2723258
2022-03-14,150.675,151.35,150.6101,150.97,2698039
2022-03-14,151.03,151.06,150.4,150.6783,2899568
2022-03-14,150.99,151.3,150.9,151.0404,3069025
2022-03-14,150.915,151.44,150.58,151.0021,3051358
2022-03-14,150.8,150.96,150.44,150.92,2618263
2022-03-14,150.68,151.05,150.57,150.8003,2528703
2022-03-14,150.9841,151.03,150.5,150.69,3526077
2022-03-14,151.8,151.8202,150.96,150.98,3099462
2022-03-14,151.95,152.03,151.36,151.8057,3264274
2022-03-14,151.73,152.27,151.7,151.96,2460600
2022-03-14,152.475,152.53,151.5,151.73,3427934
2022-03-14,152.385,152.64,152.16,152.485,2200748
2022-03-14,153.1,153.19,152.13,152.38,2349675
2022-03-14,153.52,153.68,152.89,153.08,2078937
2022-03-14,153.99,154.12,153.28,153.515,2708762
2022-03-14,152.975,154.0,152.83,153.99,3269962
2022-03-14,153.315,153.335,152.63,152.98,3301604
2022-03-14,153.62,153.74,153.12,153.32,3310277
2022-03-14,152.46,153.69,152.13,153.615,4249095
2022-03-14,152.53,153.32,151.94,152.47,5367426
2022-03-14,151.45,152.9599,151.3,152.55,10416061
2022-03-14,151.86,151.98,151.06,151.53,410224
2022-03-14,152.32,152.35,151.6,151.88,221591
2022-03-14,151.98,152.46,151.51,152.36,343641
2022-03-14,151.6,152.15,151.55,151.98,266794
2022-03-14,152.1,152.29,151.5,151.59,384477
2022-03-14,154.309,156.1,152.0,152.1,590915
2022-03-14,152.81,152.81,152.0,152.15,282803
2022-03-14,153.2,153.24,152.75,152.75,187198
2022-03-14,154.02,154.1,153.0,153.19,155274
2022-03-14,154.38,154.4,153.75,154.01,95611
2022-03-14,154.58,154.61,154.32,154.4,43690
2022-03-14,154.8,155.07,154.35,154.35,20014
2022-03-14,154.77,154.8,154.53,154.77,28930
2022-03-14,155.04,155.36,154.71,154.8,20754
2022-03-14,154.78,155.6,154.61,155.15,36746
2022-03-14,154.25,154.88,154.14,154.82,32747
2022-03-14,154.55,154.65,154.3,154.3,26405
2022-03-14,154.21,154.75,154.2,154.65,20219
2022-03-14,154.12,154.3,154.12,154.2,21809
2022-03-14,153.92,154.15,153.8,154.1,17537
2022-03-14,154.82,154.82,153.77,154.0,61582
2022-03-14,154.0,155.02,154.0,154.86,33783
2022-03-11,154.49,154.55,154.44,154.44,32109
2022-03-11,154.52,154.55,154.45,154.48,26837
2022-03-11,154.5,154.55,154.5,154.51,17365
2022-03-11,154.49,154.59,154.45,154.5,9790
2022-03-11,154.42,154.49,154.4,154.49,8308
2022-03-11,154.35,154.42,154.33,154.42,22079
2022-03-11,154.5899,154.5899,154.35,154.38,13355
2022-03-11,154.67,154.68,154.55,154.55,12117
2022-03-11,154.64,154.72,154.62,154.62,14541
2022-03-11,154.59,154.66,154.57,154.65,8875
2022-03-11,154.54,154.61,154.44,154.6,18850
2022-03-11,154.48,154.54,154.41,154.51,27917
2022-03-11,154.84,154.84,154.42,154.42,86715
2022-03-11,154.87,154.95,154.73,154.74,155440
2022-03-11,154.5,154.955,154.4999,154.8038,647598
2022-03-11,154.73,154.96,154.44,154.4999,1012808
2022-03-11,155.165,155.2498,154.5,154.73,8280777
2022-03-11,155.08,155.36,154.89,155.16,3791245
2022-03-11,155.214,155.47,155.01,155.085,2273472
2022-03-11,155.91,156.02,155.16,155.2099,2111784
2022-03-11,156.0901,156.1999,155.62,155.9,2153040
2022-03-11,156.535,156.54,156.06,156.09,1822023
2022-03-11,156.18,156.61,155.88,156.5399,2266867
2022-03-11,156.09,156.29,155.93,156.16,1871083
2022-03-11,156.66,156.795,156.05,156.09,2741313
2022-03-11,156.5,156.68,156.325,156.6634,1945463
2022-03-11,155.815,156.59,155.815,156.5001,2353298
2022-03-11,155.39,156.07,155.28,155.82,2473605
2022-03-11,155.14,155.57,154.9201,155.3833,2549341
2022-03-11,154.93,155.13,154.74,155.13,2507424
2022-03-11,155.0,155.44,154.9,154.9276,2849616
2022-03-11,155.5,155.605,154.98,155.0,3128714
2022-03-11,155.51,155.85,155.33,155.5,3145544
2022-03-11,155.885,155.92,154.78,155.51,6390564
2022-03-11,156.69,156.725,155.87,155.89,3410498
2022-03-11,157.861,157.89,156.62,156.685,2898316
2022-03-11,157.68,157.93,157.5,157.865,2311694
2022-03-11,157.655,158.125,157.32,157.6793,2650620
2022-03-11,157.57,157.95,157.08,157.66,2972070
2022-03-11,157.66,157.77,156.93,157.5695,3352012
2022-03-11,158.24,158.56,156.97,157.65,4925652
2022-03-11,158.93,159.28,157.66,158.24,7246219
2022-03-11,159.63,159.81,158.52,158.95,205440
2022-03-11,159.92,160.0,159.55,159.6,136139
2022-03-11,159.9,160.1,159.75,159.94,111344
2022-03-11,160.3,160.32,158.52,159.91,256734
2022-03-11,159.99,160.34,159.89,160.26,141978
2022-03-11,160.5421,161.01,158.6,159.96,475127
2022-03-11,160.69,160.7,160.17,160.19,114595
2022-03-11,160.67,160.95,160.66,160.72,68076
2022-03-11,160.8,161.01,160.6,160.68,107276
2022-03-11,161.14,161.29,160.48,160.8,157114
2022-03-11,161.31,161.47,160.56,161.1,27301
2022-03-11,161.2,161.5,160.7,161.3,46716
2022-03-11,159.31,162.0,159.1,161.49,56214
2022-03-11,159.22,159.26,159.2,159.2,2243
2022-03-11,159.2,159.22,159.0,159.22,6204
2022-03-11,159.45,159.45,159.27,159.27,2147
2022-03-11,159.3,159.35,159.2,159.35,1986
2022-03-11,159.39,159.54,159.39,159.48,8303
2022-03-11,159.04,159.39,159.04,159.37,7144
2022-03-11,159.1,159.14,158.97,159.05,7503
2022-03-11,158.84,159.35,158.8,159.15,10027
2022-03-11,158.4,158.78,158.4,158.78,7873
2022-03-10,158.42,158.43,158.0,158.05,31246
2022-03-10,158.45,158.46,158.39,158.43,10186
2022-03-10,158.51,158.54,158.35,158.47,11607
2022-03-10,158.4,158.52,158.31,158.51,44239
2022-03-10,158.28,158.5,158.2799,158.36,25116
2022-03-10,158.3,158.37,158.29,158.3,12033
2022-03-10,158.33,158.38,158.2,158.3,20549
2022-03-10,158.04,158.39,158.04,158.33,23452
2022-03-10,157.9502,158.0,157.95,158.0,10755
2022-03-10,158.0,158.52,157.91,157.99,14843
2022-03-10,158.02,158.02,157.87,157.96,18757
2022-03-10,158.15,158.15,158.0,158.02,17978
