day,open,high,low,close,volume
2022-03-15,125.57,125.57,125.2,125.32,2228
2022-03-15,125.57,125.57,125.57,125.57,274
2022-03-15,125.57,125.57,125.57,125.57,412
2022-03-15,125.31,125.31,125.31,125.31,653
2022-03-15,125.3,125.3,125.3,125.3,500
2022-03-15,125.33,125.33,125.33,125.33,644
2022-03-15,126.01,126.01,126.01,126.01,200
2022-03-15,125.64,125.64,124.4,124.4,61131
2022-03-15,125.72,125.89,125.4,125.6,578260
2022-03-15,125.92,125.9398,125.49,125.705,215312
2022-03-15,125.73,125.93,125.7109,125.9,115523
2022-03-15,125.65,125.78,125.59,125.7031,90373
2022-03-15,125.31,125.6863,125.28,125.67,99222
2022-03-15,125.04,125.3594,124.84,125.3093,76494
2022-03-15,125.2,125.2,124.901,125.045,77955
2022-03-15,125.53,125.55,125.095,125.21,91839
2022-03-15,125.2,125.57,125.165,125.54,127875
2022-03-15,124.8,125.2,124.68,125.195,81111
2022-03-15,124.82,125.1,124.8,124.8,53387
2022-03-15,125.12,125.26,124.71,124.79,71354
2022-03-15,125.27,125.32,124.83,125.12,58928
2022-03-15,125.44,125.46,125.22,125.25,75374
2022-03-15,125.011,125.46,124.94,125.42,97248
2022-03-15,124.88,125.02,124.7,125.015,105600
2022-03-15,124.98,125.38,124.76,124.9,128976
2022-03-15,124.72,124.99,124.545,124.98,96687
2022-03-15,123.9833,124.71,123.96,124.71,102873
2022-03-15,124.22,124.38,123.95,124.01,93685
2022-03-15,124.3201,124.43,124.1,124.24,109994
2022-03-15,124.08,124.38,124.0,124.36,153037
2022-03-15,123.42,124.12,123.3135,124.04,94348
2022-03-15,123.84,124.05,123.25,123.45,110875
2022-03-15,123.85,124.15,123.4,123.85,203580
2022-03-15,124.0,124.39,123.22,123.8,269608
2022-03-15,124.2,124.2,124.2,124.2,200
2022-03-15,124.34,124.35,124.34,124.35,327
2022-03-15,124.35,124.35,124.35,124.35,462
2022-03-15,124.7,124.7,124.12,124.4,1873
2022-03-14,124.06,124.06,124.06,124.06,100
2022-03-14,124.0,124.0,124.0,124.0,500
2022-03-14,124.0,124.0,124.0,124.0,500
2022-03-14,124.0,124.0,124.0,124.0,204
2022-03-14,123.94,123.94,123.94,123.94,1293
2022-03-14,123.94,123.94,123.94,123.94,66665
2022-03-14,124.0,124.07,123.71,123.94,354664
2022-03-14,123.88,123.99,123.68,123.98,196350
2022-03-14,123.84,123.97,123.73,123.8902,85911
2022-03-14,123.7366,123.9,123.61,123.81,69574
2022-03-14,123.56,123.7819,123.46,123.74,44034
2022-03-14,123.45,123.7,123.45,123.55,51644
2022-03-14,123.56,123.56,123.35,123.45,80072
2022-03-14,123.59,123.6499,123.43,123.55,57456
2022-03-14,123.7,123.78,123.52,123.57,68163
2022-03-14,124.17,124.19,123.6,123.68,66396
2022-03-14,123.9,124.315,123.86,124.15,60057
2022-03-14,123.875,123.95,123.73,123.9072,86712
2022-03-14,124.2,124.23,123.8103,123.875,65906
2022-03-14,124.28,124.4,124.0915,124.24,80860
2022-03-14,124.03,124.31,124.01,124.27,68292
2022-03-14,124.6,124.6,124.01,124.05,68117
2022-03-14,124.625,124.635,124.28,124.61,135101
2022-03-14,124.7,124.84,124.54,124.57,75535
2022-03-14,124.93,124.99,124.56,124.69,60396
2022-03-14,125.12,125.16,124.87,124.95,105519
2022-03-14,124.59,125.1,124.48,125.09,158577
2022-03-14,123.98,124.65,123.98,124.6,101050
2022-03-14,123.67,124.16,123.35,123.96,95658
2022-03-14,123.53,123.9065,123.18,123.65,120536
2022-03-14,123.501,123.66,122.685,123.58,167875
2022-03-14,124.45,124.89,123.12,123.53,238750
2022-03-14,124.5,124.75,124.32,124.32,1011
2022-03-14,124.5,124.5,124.5,124.5,144
2022-03-14,124.25,124.4,124.25,124.4,1548
2022-03-14,124.01,124.01,124.01,124.01,250
2022-03-14,125.16,125.16,124.1,124.5,1882
2022-03-14,124.75,124.75,124.7,124.7,431
2022-03-14,125.16,125.39,124.9,125.39,2291
2022-03-14,125.15,125.17,124.96,124.96,1146
2022-03-14,125.0,125.0,125.0,125.0,997
2022-03-11,124.0,124.0,124.0,124.0,139
2022-03-11,124.01,124.03,123.96,123.96,1069
