day,open,high,low,close,volume
2022-03-15,7.99,7.99,7.99,7.99,303
2022-03-15,8.0025,8.01,7.98,8.0,44231
2022-03-15,8.0,8.01,7.99,8.0025,24931
2022-03-15,7.99,8.01,7.985,8.0,15426
2022-03-15,8.0,8.01,7.98,7.99,36853
2022-03-15,7.98,8.01,7.98,8.0,8830
2022-03-15,7.925,7.99,7.925,7.98,16344
2022-03-15,7.93,7.94,7.91,7.93,7068
2022-03-15,7.94,7.95,7.92,7.93,9784
2022-03-15,7.92,7.955,7.92,7.95,6527
2022-03-15,7.91,7.93,7.91,7.93,5806
2022-03-15,7.94,7.95,7.92,7.92,6089
2022-03-15,7.98,7.99,7.95,7.95,7247
2022-03-15,7.985,7.99,7.95,7.99,7284
2022-03-15,7.99,8.01,7.98,7.99,37608
2022-03-15,7.965,7.99,7.95,7.99,9064
2022-03-15,7.935,7.985,7.92,7.96,8822
2022-03-15,7.92,7.96,7.91,7.95,14563
2022-03-15,7.975,7.98,7.93,7.94,3642
2022-03-15,7.97,7.975,7.93,7.975,6866
2022-03-15,7.975,8.01,7.97,7.99,12013
2022-03-15,7.965,8.03,7.965,7.978,18935
2022-03-15,8.0,8.01,7.97,7.97,13409
2022-03-15,7.92,8.0,7.92,8.0,7160
2022-03-15,7.93,7.94,7.89,7.93,10200
2022-03-15,7.84,7.96,7.84,7.96,5006
2022-03-15,7.86,8.0499,7.82,7.82,12744
2022-03-14,7.83,7.83,7.83,7.83,100
2022-03-14,7.75,7.75,7.75,7.75,1200
2022-03-14,7.83,7.83,7.83,7.83,6095
2022-03-14,7.85,7.86,7.82,7.83,58137
2022-03-14,7.875,7.875,7.82,7.85,28835
2022-03-14,7.91,7.915,7.87,7.88,28313
2022-03-14,7.86,7.91,7.86,7.9,13310
2022-03-14,7.83,7.87,7.83,7.85,6988
2022-03-14,7.81,7.85,7.81,7.845,8319
2022-03-14,7.81,7.83,7.8,7.81,6363
2022-03-14,7.825,7.84,7.8,7.82,8290
2022-03-14,7.75,7.84,7.75,7.825,11576
2022-03-14,7.8,7.8,7.73,7.75,22885
2022-03-14,7.815,7.83,7.79,7.8,5812
2022-03-14,7.81,7.84,7.8,7.81,18921
2022-03-14,7.82,7.83,7.81,7.82,4114
